cityID,cityName,stateID,latitude,longitude
7,Mountain View,5,37.42,-122.06
8,Beijing,6,39.93,116.39
11,Ackworth,9,41.36,-93.43
13,Far Rockaway,10,40.61,-73.79
14,Hebei,11,39.89,115.28
15,Los Angeles,5,34.04,-118.25
16,Nanjing,12,32.06,118.78
18,Sunnyvale,5,37.42,-122.01
20,Newark,14,40.74,-74.17
21,Malden,15,42.43,-71.05
22,Trumbull,16,41.26,-73.21
23,Guangzhou,17,23.12,113.25
25,Cupertino,5,37.3,-122.09
26,Fort Lauderdale,19,26.1,-80.27
27,South Amboy,14,40.48,-74.29
33,Keller,24,32.93,-97.25
34,Long Island City,10,40.74,-73.94
38,Brooklyn,10,40.69,-73.99
39,Army Post Office,28,31.53,-110.36
42,Mesquite,24,32.76,-96.61
44,Mc Minnville,32,35.65,-85.73
45,Flatwoods,33,38.5,-82.73
46,Saint-maur-des-fossés,34,48.8,2.5
47,Bogart,35,33.91,-83.52
48,Cedar Hill,24,32.59,-96.97
50,São Gonçalo,37,-22.8,-43.03
51,Levittown,10,40.72,-73.52
52,Torrance,5,33.84,-118.35
53,Cornelia,35,34.5,-83.58
54,Northridge,5,34.28,-118.56
61,Des Plaines,44,42,-87.9
64,Denver,47,39.75,-105
65,Shenzhen,17,22.53,114.13
66,Wenzhou,48,28.02,120.65
67,Riverton,49,40.48,-112.01
71,San Diego,5,32.81,-117.13
72,Shenyang,52,41.79,123.43
77,Gurgaon,56,28.47,77.03
78,Glen Burnie,57,39.16,-76.6
79,New York,10,40.8,-73.97
81,Miami,19,25.81,-80.24
83,Chicago,44,41.88,-87.63
87,Shanghai,62,31,121.41
89,San Jose,5,37.37,-121.86
90,Tianjin,64,39.14,117.18
93,Placerville,5,38.74,-120.8
94,Redwood City,5,37.49,-122.21
99,Evansdale,9,42.49,-92.29
100,Borrego Springs,5,33.18,-116.27
102,Houston,24,29.8,-95.42
103,Dallas,24,32.78,-96.8
106,Dongguan,17,23.05,113.74
107,Anderson,72,34.48,-82.68
108,Bozeman,73,45.71,-111.06
112,Marksville,76,31.18,-92.02
113,Xiamen,77,24.47,118.09
114,Billerica,15,42.55,-71.26
115,Cypress,24,29.99,-95.65
116,Florianópolis,78,-27.58,-48.57
118,Vitória,80,-20.32,-40.35
119,Jamaica,10,40.69,-73.79
120,Calabasas,5,34.12,-118.67
121,Memphis,32,35.03,-89.78
125,Seattle,84,47.58,-122.3
128,Prospect,87,40.9,-80.08
130,El Segundo,5,33.92,-118.4
132,Nanning,90,22.82,108.32
133,Bellevue,84,47.6,-122.16
135,Apollo Beach,19,27.77,-82.41
136,Woodside,10,40.75,-73.91
138,Elgin,44,42.03,-88.3
139,Cherryville,93,35.39,-81.39
144,Chongqing,97,29.56,106.55
145,Jinan,94,36.67,117
146,Grand Blanc,98,42.92,-83.65
147,Indiana,87,40.62,-79.15
148,Wuhan,99,30.58,114.27
150,Morrilton,101,35.17,-92.74
154,Sharon,15,42.11,-71.18
155,Pompton Lakes,14,41,-74.28
158,Eau Claire,107,44.79,-91.54
162,Hangzhou,48,30.26,120.17
165,Mount Holly,14,39.99,-74.79
167,Chaoyang,52,41.57,120.46
172,Tallahassee,19,30.47,-84.22
174,Daqing,52,41.72,123.2
175,Winter Garden,19,28.48,-81.63
176,Meulan,116,49.02,1.9
177,Tampa,19,28,-82.55
184,Salvador,121,-12.98,-38.52
187,Atlanta,35,33.8,-84.39
188,Harbin,123,45.75,126.65
189,Chino Hills,5,33.95,-117.73
190,Hopkins,72,33.91,-80.83
192,Pomona,5,34.07,-117.79
197,Paris,101,35.28,-93.72
198,Cary,93,35.78,-78.82
199,San Bernardino,5,34.14,-117.3
200,Southgate,98,42.21,-83.21
201,Madras,128,13.08,80.28
202,Viola,101,36.38,-92
203,Euclid,129,41.57,-81.53
204,Benton,101,34.59,-92.67
205,Ridgefield Park,14,40.85,-74.02
208,Rio Rancho,132,35.25,-106.72
210,Hutchinson,133,38.13,-97.93
212,Montgomery,87,41.18,-76.95
213,Colorado Springs,47,38.83,-104.74
214,Moriarty,132,34.96,-106
215,San Antonio,24,29.49,-98.4
218,Vail,47,39.64,-106.32
219,West Memphis,101,35.14,-90.15
220,Flower Mound,24,33.03,-97.07
221,Sandy,136,45.38,-122.18
223,Fennville,98,42.57,-86.11
224,Agra,138,27.18,78.02
226,Anthony,19,29.3,-82.1
227,Kearney,140,40.76,-99.02
228,Fort Myers,19,26.67,-81.75
230,Kittanning,87,40.81,-79.42
231,Hollywood,19,26.01,-80.41
233,Ripley,143,38.79,-81.68
234,Norwood,15,42.18,-71.2
235,Roslindale,15,42.28,-71.12
236,Corona,10,40.75,-73.85
237,State College,87,40.79,-77.87
238,Alexandria,144,38.81,-77.13
240,Copake,10,42.1,-73.56
242,Palm Springs,5,33.77,-116.58
244,Richmond,144,37.54,-77.48
245,Belton,145,38.78,-94.55
249,Jacksonville,19,30.49,-81.54
250,Laurel,148,31.7,-89.11
252,Lolo,73,46.73,-114.36
253,Peoria,44,40.69,-89.59
256,Beaumont,24,30.08,-94.11
257,Iowa City,9,41.64,-91.46
258,Pawtucket,151,41.87,-71.39
259,Madison,107,43.07,-89.39
260,Toledo,129,41.71,-83.54
261,Irving,24,32.88,-96.94
264,Garden Grove,5,33.79,-117.97
